"ord2","ord","city","othername","country","latitude","longitude","certainty","pop","start_date","end_date"
1,3,"Aalborg",,"Denmark",57.048,9.9187,1,34000,1900,1980
2,4,"Aarhus",,"Denmark",56.162939,10.203921,1,51000,1900,1980
3,5,"Abeokuta",,"Nigeria",7.15,3.35,2,50000,1843,1850
4,5,"Abeokuta",,"Nigeria",7.15,3.35,2,60000,1850,1851
5,5,"Abeokuta",,"Nigeria",7.15,3.35,2,60000,1851,1900
6,5,"Abeokuta",,"Nigeria",7.15,3.35,2,60000,1900,1980
7,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,2977,1396,1581
8,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,5833,1581,1643
9,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,8750,1643,1708
10,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,5556,1708,1755
11,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,15730,1755,1800
12,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,26000,1800,1801
13,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,26992,1801,1841
14,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,63288,1841,1850
15,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,71000,1850,1851
16,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,71973,1851,1900
17,6,"Aberdeen",,"United Kingdom",57.14369,-2.09814,1,150000,1900,1980
18,7,"Abidjan",,"Cote D'Ivoire",5.30966,-4.01266,1,685000,1975,1980
19,8,"Abo"," ﾁbo (Turku)","Finland",60.449325,22.259231,3,38000,1900,1980
20,9,"Abomey-Calavi",,"Benin",7.18286,1.99119,1,24000,1750,1780
21,9,"Abomey-Calavi",,"Benin",7.18286,1.99119,1,24000,1780,1800
22,9,"Abomey-Calavi",,"Benin",7.18286,1.99119,1,24000,1800,1861
23,9,"Abomey-Calavi",,"Benin",7.18286,1.99119,1,20000,1861,1980
24,10,"Accra",,"Ghana",5.55602,-0.1969,1,990000,1975,1980
25,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,30000,1547,1571
26,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,42000,1571,1637
27,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,60000,1637,1650
28,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,60000,1650,1688
29,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,48000,1688,1690
30,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,48000,1690,1700
31,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,48000,1700,1750
32,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,45000,1750,1800
33,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,40000,1800,1886
34,11,"Achin","Aceh","Indonesia",5.55,95.316667,3,30000,1886,1980
35,12,"Acre",,"Israel",32.927778,35.081667,2,40000,1200,1250
36,12,"Acre",,"Israel",32.927778,35.081667,2,57000,1250,1785
37,12,"Acre",,"Israel",32.927778,35.081667,2,30000,1785,1800
38,12,"Acre",,"Israel",32.927778,35.081667,2,30000,1800,1980
39,13,"Adana",,"Turkey",37.00167,35.32889,1,30000,1800,1900
40,13,"Adana",,"Turkey",37.00167,35.32889,1,30000,1900,1980
41,14,"Addis Ababa",,"Ethiopia",9.02497,38.74689,1,35000,1900,1950
42,14,"Addis Ababa",,"Ethiopia",9.02497,38.74689,1,325000,1950,1975
43,14,"Addis Ababa",,"Ethiopia",9.02497,38.74689,1,1161000,1975,1980
