NUM,ICPSR,STARTCONGPERS,STATENAME,DISTRICT,PARTY,POL_PARTY,CONGRESSPERSON,STARTPERS,ENDPERS,NOTES,NOTES2
2682,786,1,Virginia,0,,Independent,"BLAND, THEODORICK",17890304,17900601,,Within range of endpers change
539,154,1,Massachusetts,1,Federalist,Federalist,"AMES, FISHER",17890304,17910304,,Replaced last 4 of endpers with 0304
891,259,1,North Carolina,0,Federalist,Federalist,"ASHE, JOHN BAPTISTA -NORT",17890304,17910304,,Replaced last 4 of endpers with 0304
1277,379,1,Georgia,0,Federalist,Federalist,"BALDWIN, ABRAHAM",17890304,17910304,,Replaced last 4 of endpers with 0304
2217,649,1,New York,3,,Independent,"BENSON, EGBERT",17890304,17910304,,Replaced last 4 of endpers with 0304
2732,800,1,North Carolina,0,,Independent,"BLOODWORTH, TIMOTHY",17890304,17910304,Changed number to 0 for At Large,Replaced last 4 of endpers with 0304
3035,878,1,New Jersey,0,Whig,Independent,"BOUDINOT, ELIAS",17890304,17910304,,Replaced last 4 of endpers with 0304
3050,884,1,Rhode Island,0,Federalist,Federalist,"BOURN, BENJAMIN",17890304,17910304,,Replaced last 4 of endpers with 0304
3803,1118,1,Virginia,0,Jefferson Dem,Independent,"BROWN, JOHN -VIRGINIA-",17890304,17910304,Changed number to 0 for At Large,Replaced last 4 of endpers with 0304
4293,1260,1,South Carolina,0,,Independent,"BURKE, AEDANUS",17890304,17910304,,Replaced last 4 of endpers with 0304
4799,1387,1,New Jersey,0,,Independent,"CADWALADER, LAMBERT",17890304,17910304,Changed number to 0 for At Large,Replaced last 4 of endpers with 0304
5346,1538,1,Maryland,0,Federalist,Federalist,"CARROLL, DANIEL",17890304,17910304,,Replaced last 4 of endpers with 0304
6403,1859,1,Pennsylvania,0,Federalist,Federalist,"CLYMER, GEORGE",17890304,17910304,,Replaced last 4 of endpers with 0304
6645,1936,1,Virginia,0,,Independent,"COLES, ISAAC",17890304,17910304,Changed number to 0 for At Large,Replaced last 4 of endpers with 0304
6938,2010,1,Maryland,0,,Independent,"CONTEE, BENJAMIN",17890304,17910304,Changed number to 0 for At Large,Replaced last 4 of endpers with 0304
10969,3196,1,Pennsylvania,0,Federalist,Federalist,"FITZSIMONS, THOMAS",17890304,17910304,Changed number to 0 for At Large,Replaced last 4 of endpers with 0304
11103,3237,1,New York,1,,Independent,"FLOYD, WILLIAM",17890304,17910304,,Replaced last 4 of endpers with 0304
11334,3299,1,New Hampshire,0,Federalist,Independent,"FOSTER, ABIEL",17890304,17910304,,Replaced last 4 of endpers with 0304
11800,3430,1,Maryland,0,,Independent,"GALE, GEORGE",17890304,17910304,Changed number to 0 for At Large,Replaced last 4 of endpers with 0304
12195,3541,1,Massachusetts,3,Anti-Federalist,Dem,"GERRY, ELBRIDGE -MASSACHU",17890304,17910304,,Replaced last 4 of endpers with 0304
12439,3610,1,New Hampshire,0,Federalist,Whig,"GILMAN, NICHOLAS",17890304,17910304,Changed number to 0 for At Large,Replaced last 4 of endpers with 0304
12665,3674,1,Massachusetts,2,Federalist,Independent,"GOODHUE, BENJAMIN",17890304,17910304,,Replaced last 4 of endpers with 0304
