statename,startpers,endpers,party,district,startdist,enddist,congressperson,icpsr,id,startcong,endcong,startcongpers,pol_party,startcomb,endcomb,finalstart,finalend
Alabama,18230304,18250304,Anti-Jackson Dem,1,18230304,18330304,"MOORE, GABRIEL",6632,001018022001,18,22,18,Independent,18230304,18250304,18230304,18250304
Alabama,18250304,18270304,Jackson Dem,1,18230304,18330304,"MOORE, GABRIEL",6632,001018022001,18,22,19,Independent,18250304,18270304,18250304,18270304
Alabama,18270304,18290304,Jackson Dem,1,18230304,18330304,"MOORE, GABRIEL",6632,001018022001,18,22,20,Independent,18270304,18290304,18270304,18290304
Alabama,18290304,18310304,Dem,1,18230304,18330304,"CLAY, CLEMENT COMER",1809,001018022001,18,22,21,Dem,18290304,18310304,18290304,18310304
Alabama,18310304,18330304,Dem,1,18230304,18330304,"CLAY, CLEMENT COMER",1809,001018022001,18,22,22,Dem,18310304,18330304,18310304,18330304
Alabama,18330304,18350304,Dem,1,18330304,18410304,"CLAY, CLEMENT COMER",1809,001023026001,23,26,23,Dem,18330304,18350304,18330304,18350304
Alabama,18350304,18370304,Dem,1,18330304,18410304,"CHAPMAN, REUBEN",1658,001023026001,23,26,24,Dem,18350304,18370304,18350304,18370304
Alabama,18370304,18390304,Dem,1,18330304,18410304,"CHAPMAN, REUBEN",1658,001023026001,23,26,25,Dem,18370304,18390304,18370304,18390304
Alabama,18390304,18410304,Dem,1,18330304,18410304,"CHAPMAN, REUBEN",1658,001023026001,23,26,26,Dem,18390304,18410304,18390304,18410304
Alabama,18430304,18450304,Whig,1,18430304,18550304,"DELLET, JAMES",2485,001028033001,28,33,28,Whig,18430304,18450304,18430304,18450304
Alabama,18450304,18470304,Dem,1,18430304,18550304,"DARGAN, EDMUND STROTHER",2336,001028033001,28,33,29,Dem,18450304,18470304,18450304,18470304
Alabama,18470304,18490304,Whig,1,18430304,18550304,"GAYLE, JOHN",3513,001028033001,28,33,30,Whig,18470304,18490304,18470304,18490304
Alabama,18490304,18510304,Whig,1,18430304,18550304,"ALSTON, WILLIAM JEFFREYS",147,001028033001,28,33,31,Whig,18490304,18510304,18490304,18510304
Alabama,18510304,18530304,Sts Rights Dem,1,18430304,18550304,"BRAGG, JOHN",967,001028033001,28,33,32,Dem,18510304,18530304,18510304,18530304
Alabama,18530304,18550304,Dem,1,18430304,18550304,"PHILLIPS, PHILIP",7416,001028033001,28,33,33,Dem,18530304,18550304,18530304,18550304
Alabama,18550304,18570304,American,1,18550304,18610304,"WALKER, PERCY",9752,001034036001,34,36,34,American,18550304,18570304,18550304,18570304
Alabama,18570304,18590304,Dem,1,18550304,18610304,"STALLWORTH, JAMES ADAMS",8829,001034036001,34,36,35,Dem,18570304,18590304,18570304,18590304
Alabama,18590304,18610304,Dem,1,18550304,18610304,"STALLWORTH, JAMES ADAMS",8829,001034036001,34,36,36,Dem,18590304,18610304,18590304,18610304
Alabama,18670304,18690304,Rep,1,18670304,18730304,"KELLOGG, FRANCIS WILLIAM",5142,001040042001,40,42,40,Rep,18670304,18690304,18670304,18690304
Alabama,18690304,18710304,Rep,1,18670304,18730304,"BUCK, ALFRED ELIAB",1192,001040042001,40,42,41,Rep,18690304,18710304,18690304,18710304
Alabama,18710304,18730304,Rep,1,18670304,18730304,"TURNER, BENJAMIN STERLING",9509,001040042001,40,42,42,Rep,18710304,18730304,18710304,18730304
Alabama,18730304,18750304,Lib Rep and Dem,1,18730304,18770304,"BROMBERG, FREDERICK GEORG",1063,001043044001,43,44,43,Rep,18730304,18750304,18730304,18750304
Alabama,18750304,18770304,Rep,1,18730304,18770304,"HARALSON, JEREMIAH",4047,001043044001,43,44,44,Rep,18750304,18770304,18750304,18770304
Alabama,18770304,18790304,Dem,1,18770304,18850304,"JONES, JAMES TAYLOR",5043,001045048001,45,48,45,Dem,18770304,18790304,18770304,18790304
Alabama,18790304,18810304,Dem,1,18770304,18850304,"HERNDON, THOMAS HORD",4358,001045048001,45,48,46,Dem,18790304,18810304,18790304,18810304
Alabama,18810304,18830304,Dem,1,18770304,18850304,"HERNDON, THOMAS HORD",4358,001045048001,45,48,47,Dem,18810304,18830304,18810304,18830304
Alabama,18830304,18830328,Dem,1,18770304,18850304,"HERNDON, THOMAS HORD",4358,001045048001,45,48,48,Dem,18830304,18830328,18830304,18830328
Alabama,,,,1,18770304,18850304,,,001045048001,45,48,,,18830328,18831203,18830328,18831203
Alabama,18831203,18850304,Dem,1,18770304,18850304,"JONES, JAMES TAYLOR",5043,001045048001,45,48,48,Dem,18831203,18850304,18831203,18850304
Alabama,18850304,18870304,Dem,1,18850304,18930304,"JONES, JAMES TAYLOR",5043,001049052001,49,52,49,Dem,18850304,18870304,18850304,18870304
Alabama,18870304,18890304,Dem,1,18850304,18930304,"JONES, JAMES TAYLOR",5043,001049052001,49,52,50,Dem,18870304,18890304,18870304,18890304
Alabama,18890304,18910304,Dem,1,18850304,18930304,"CLARKE, RICHARD HENRY",1799,001049052001,49,52,51,Dem,18890304,18910304,18890304,18910304
Alabama,18910304,18930304,Dem,1,18850304,18930304,"CLARKE, RICHARD HENRY",1799,001049052001,49,52,52,Dem,18910304,18930304,18910304,18930304
Alabama,18930304,18950304,Dem,1,18930304,19030304,"CLARKE, RICHARD HENRY",1799,001053057001,53,57,53,Dem,18930304,18950304,18930304,18950304
Alabama,,,,1,18930304,19030304,,,001053057001,53,57,,,18950304,18970304,18950304,18970304
