fid,STATENAME,ID,DISTRICT,STARTCONG,ENDCONG
1,Massachusetts,025001001006,6,1,1
2,Massachusetts,025001001007,7,1,1
3,Massachusetts,025001001008,8,1,1
4,New York,036001002001,1,1,2
5,Virginia,051001002001,1,1,2
6,Virginia,051001002010,10,1,2
7,Connecticut,009001002000,0,1,2
8,Delaware,010001012000,0,1,12
9,Georgia,0130010010-1,-1,1,1
10,Georgia,013001001001,1,1,1
11,Massachusetts,025001001001,1,1,1
12,Massachusetts,025001001002,2,1,1
13,Massachusetts,025001001003,3,1,1
14,Massachusetts,025001001004,4,1,1
15,Massachusetts,025001001005,5,1,1
16,Georgia,013001001002,2,1,1
17,Georgia,013001001003,3,1,1
18,New York,036001002002,2,1,2
19,New York,036001002003,3,1,2
20,New York,036001002004,4,1,2
21,New York,036001002005,5,1,2
22,New York,036001002006,6,1,2
23,Maryland,024001002001,1,1,2
24,Maryland,024001002002,2,1,2
25,Maryland,024001002003,3,1,2
26,Maryland,024001002004,4,1,2
27,Maryland,024001002005,5,1,2
28,Maryland,024001002006,6,1,2
29,New Hampshire,033001002000,0,1,2
30,New Jersey,034001002000,0,1,2
31,Pennsylvania,042001001000,0,1,1
32,Rhode Island,044001002000,0,1,2
33,South Carolina,045001002001,1,1,2
34,South Carolina,045001002002,2,1,2
35,South Carolina,045001002003,3,1,2
36,South Carolina,045001002004,4,1,2
37,South Carolina,045001002005,5,1,2
38,Virginia,051001002002,2,1,2
39,Virginia,051001002003,3,1,2
40,Virginia,051001002004,4,1,2
41,Virginia,051001002005,5,1,2
42,Virginia,051001002006,6,1,2
43,Virginia,051001002007,7,1,2
44,Virginia,051001002008,8,1,2
45,Virginia,051001002009,9,1,2
46,North Carolina,0370010010-1,-1,1,1
47,North Carolina,037001001001,1,1,1
48,North Carolina,037001001002,2,1,1
49,North Carolina,037001001003,3,1,1
50,North Carolina,037001001004,4,1,1
51,North Carolina,037001001005,5,1,1
53,Vermont,050002006001,1,2,6
54,Vermont,050002006002,2,2,6
59,Georgia,013002002001,1,2,2
60,Georgia,0130020020-1,-1,2,2
61,Georgia,013002002002,2,2,2
62,Georgia,013002002003,3,2,2
63,Kentucky,021002006001,1,2,6
64,Kentucky,021002006002,2,2,6
65,Pennsylvania,042002002001,1,2,2
66,Pennsylvania,042002002002,2,2,2
67,Pennsylvania,042002002003,3,2,2
68,Pennsylvania,042002002004,4,2,2
69,Pennsylvania,042002002005,5,2,2
70,Pennsylvania,042002002006,6,2,2
71,Pennsylvania,042002002007,7,2,2
72,Pennsylvania,042002002008,8,2,2
73,Massachusetts,025002002001,1,2,2
74,Massachusetts,025002002002,2,2,2
75,Massachusetts,025002002003,3,2,2
76,Massachusetts,025002002004,4,2,2
77,Massachusetts,025002002005,5,2,2
78,Massachusetts,025002002006,6,2,2
79,Massachusetts,025002002007,7,2,2
80,Massachusetts,025002002008,8,2,2
108,North Carolina,037002002001,1,2,2
109,North Carolina,037002002002,2,2,2
110,North Carolina,037002002003,3,2,2
111,North Carolina,037002002004,4,2,2
112,North Carolina,037002002005,5,2,2
113,Maryland,024003007003,3,3,7
114,Maryland,024003007004,4,3,7
115,Maryland,024003007005,5,3,7
116,Maryland,024003007006,6,3,7
117,Maryland,024003007007,7,3,7
118,Maryland,024003007008,8,3,7
119,Massachusetts,025003003000,0,3,3
120,Massachusetts,025003003001,1,3,3
121,Massachusetts,025003003002,2,3,3
122,New York,036003005010,10,3,5
125,Connecticut,009003007000,0,3,7
126,Georgia,0130030070-1,-1,3,7
127,Georgia,013003007000,0,3,7
131,Maryland,024003007001,1,3,7
132,Maryland,024003007002,2,3,7
133,New York,036003005001,1,3,5
134,New York,036003005003,3,3,5
135,New York,036003005004,4,3,5
136,New York,036003005005,5,3,5
137,New York,036003005006,6,3,5
138,New York,036003005007,7,3,5
139,New York,036003005008,8,3,5
140,New York,036003005009,9,3,5
141,Massachusetts,025003003003,3,3,3
142,Massachusetts,025003003004,4,3,3
143,New York,036003005002,2,3,5
144,New Hampshire,033003007000,0,3,7
145,New Jersey,034003005000,0,3,5
146,North Carolina,037003007001,1,3,7
147,North Carolina,037003007010,10,3,7
148,North Carolina,037003007002,2,3,7
149,North Carolina,037003007003,3,3,7
150,North Carolina,037003007004,4,3,7
151,North Carolina,037003007005,5,3,7
152,North Carolina,037003007006,6,3,7
153,North Carolina,037003007007,7,3,7
154,North Carolina,037003007008,8,3,7
155,North Carolina,037003007009,9,3,7
156,Pennsylvania,042003003000,0,3,3
157,Rhode Island,044003027000,0,3,27
158,South Carolina,045003007001,1,3,7
159,South Carolina,045003007002,2,3,7
160,South Carolina,045003007003,3,3,7
161,South Carolina,045003007004,4,3,7
162,South Carolina,045003007005,5,3,7
163,South Carolina,045003007006,6,3,7
164,Virginia,051003007010,10,3,7
165,Virginia,051003007011,11,3,7
166,Virginia,051003007012,12,3,7
167,Virginia,051003007013,13,3,7
168,Virginia,051003007014,14,3,7
169,Virginia,051003007015,15,3,7
170,Virginia,051003007016,16,3,7
171,Virginia,051003007017,17,3,7
172,Virginia,051003007018,18,3,7
173,Virginia,051003007019,19,3,7
174,Virginia,051003007001,1,3,7
175,Virginia,051003007002,2,3,7
176,Virginia,051003007003,3,3,7
177,Virginia,051003007004,4,3,7
178,Virginia,051003007005,5,3,7
179,Virginia,051003007006,6,3,7
180,Virginia,051003007007,7,3,7
